#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
NEDD8	YWHAG	9606.ENSP00000250495	9606.ENSP00000306330	0	0	0	0	0.082	0.355	0	0.109	0.427
NEDD8	XRCC5	9606.ENSP00000250495	9606.ENSP00000375978	0	0	0	0	0.094	0	0	0.398	0.431
NEDD8	RPL10A	9606.ENSP00000250495	9606.ENSP00000363018	0	0	0	0	0.184	0.434	0	0.068	0.532
NEDD8	RPS26	9606.ENSP00000250495	9606.ENSP00000348849	0	0	0	0	0.223	0.487	0	0.146	0.630
NEDD8	RPL11	9606.ENSP00000250495	9606.ENSP00000363676	0	0	0	0	0.232	0.711	0	0.414	0.858
NEDD8	UCHL3	9606.ENSP00000250495	9606.ENSP00000366819	0	0	0	0	0.162	0.747	0.600	0.854	0.986
NONO	TRIM28	9606.ENSP00000276079	9606.ENSP00000253024	0	0	0	0	0.315	0.118	0	0.135	0.432
NONO	SRSF7	9606.ENSP00000276079	9606.ENSP00000325905	0	0	0	0	0.306	0	0	0.170	0.400
NONO	XRCC5	9606.ENSP00000276079	9606.ENSP00000375978	0	0	0	0	0.229	0	0	0.413	0.528
NONO	XRCC6	9606.ENSP00000276079	9606.ENSP00000352257	0	0	0	0	0.257	0	0	0.392	0.528
NONO	SFPQ	9606.ENSP00000276079	9606.ENSP00000349748	0	0	0	0.949	0.856	0.894	0.900	0.988	0.998
NUFIP2	RPS26	9606.ENSP00000225388	9606.ENSP00000348849	0	0	0	0	0.053	0	0.720	0	0.723
NUFIP2	RPL11	9606.ENSP00000225388	9606.ENSP00000363676	0	0	0	0	0.081	0	0.720	0	0.731
NUFIP2	RPL10A	9606.ENSP00000225388	9606.ENSP00000363018	0	0	0	0	0.083	0	0.720	0	0.732
OGDH	SOD2	9606.ENSP00000222673	9606.ENSP00000446252	0.072	0	0	0	0.073	0	0	0.382	0.422
OGDH	PRDX3	9606.ENSP00000222673	9606.ENSP00000298510	0	0	0	0	0.201	0.129	0	0.237	0.423
PRDX3	STOML2	9606.ENSP00000298510	9606.ENSP00000348886	0.044	0	0	0	0.467	0	0	0.148	0.529
PRDX3	SOD2	9606.ENSP00000298510	9606.ENSP00000446252	0.154	0	0	0	0.112	0	0	0.741	0.789
PRDX4	SOD2	9606.ENSP00000368646	9606.ENSP00000446252	0.154	0	0	0	0.112	0	0	0.541	0.625
RBM25	SF3A1	9606.ENSP00000261973	9606.ENSP00000215793	0	0	0	0	0.569	0.941	0	0.682	0.991
RBM25	SFPQ	9606.ENSP00000261973	9606.ENSP00000349748	0	0	0	0	0.229	0	0	0.311	0.447
RBM25	SRSF7	9606.ENSP00000261973	9606.ENSP00000325905	0	0	0	0	0.193	0.254	0	0.397	0.605
RPL10A	RPS26	9606.ENSP00000363018	9606.ENSP00000348849	0	0	0	0	0.991	0.997	0.900	0.734	0.999
RPL10A	SOD2	9606.ENSP00000363018	9606.ENSP00000446252	0	0	0	0	0.122	0.341	0	0.063	0.410
RPL10A	UCHL3	9606.ENSP00000363018	9606.ENSP00000366819	0	0	0	0	0.068	0.270	0	0.230	0.430
RPL10A	RPL11	9606.ENSP00000363018	9606.ENSP00000363676	0.219	0	0	0	0.997	0.996	0.900	0.720	0.999
RPL11	RPS26	9606.ENSP00000363676	9606.ENSP00000348849	0	0	0	0	0.991	0.997	0.900	0.882	0.999
RPL11	SOD2	9606.ENSP00000363676	9606.ENSP00000446252	0	0	0	0	0.273	0.611	0	0.107	0.725
SF3A1	SFPQ	9606.ENSP00000215793	9606.ENSP00000349748	0	0	0	0	0.231	0.154	0	0.205	0.437
SF3A1	SRSF7	9606.ENSP00000215793	9606.ENSP00000325905	0	0	0	0	0.184	0.156	0	0.396	0.547
SFPQ	TRIM28	9606.ENSP00000349748	9606.ENSP00000253024	0	0	0	0	0.270	0.154	0	0.168	0.441
SFPQ	SRSF7	9606.ENSP00000349748	9606.ENSP00000325905	0	0	0	0	0.440	0.186	0	0.460	0.732
SFPQ	XRCC6	9606.ENSP00000349748	9606.ENSP00000352257	0	0	0	0	0.289	0	0	0.262	0.453
SFPQ	XRCC5	9606.ENSP00000349748	9606.ENSP00000375978	0	0	0	0	0.270	0	0	0.321	0.483
TAGLN	UCHL3	9606.ENSP00000432282	9606.ENSP00000366819	0	0	0	0	0	0.602	0	0.095	0.624
UCHL3	XRCC6	9606.ENSP00000366819	9606.ENSP00000352257	0	0	0	0	0	0.270	0	0.453	0.583
XRCC5	XRCC6	9606.ENSP00000375978	9606.ENSP00000352257	0	0	0	0	0.601	0.998	0.900	0.995	0.999
