#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
LRP1	APOA2	9606.ENSP00000243077	9606.ENSP00000356969	0	0	0	0	0	0	0.900	0.162	0.912
MDH2	OGDH	9606.ENSP00000327070	9606.ENSP00000222673	0.070	0	0	0	0.208	0.160	0	0.835	0.884
MDH2	ACAA2	9606.ENSP00000327070	9606.ENSP00000285093	0	0	0	0	0.251	0.142	0	0.698	0.789
MDH2	DLST	9606.ENSP00000327070	9606.ENSP00000335304	0.068	0	0	0	0.522	0.214	0	0.731	0.893
MYL1	TPM3	9606.ENSP00000307280	9606.ENSP00000357516	0	0	0	0	0.400	0.111	0.600	0.453	0.867
NEDD8	PSMD8	9606.ENSP00000250495	9606.ENSP00000215071	0	0	0	0	0.293	0.253	0.600	0.334	0.840
NEDD8	PHPT1	9606.ENSP00000250495	9606.ENSP00000247665	0	0	0	0	0.783	0.788	0	0	0.952
NEDD8	RPL11	9606.ENSP00000250495	9606.ENSP00000363676	0	0	0	0	0.232	0.711	0	0.414	0.858
NEDD8	UCHL3	9606.ENSP00000250495	9606.ENSP00000366819	0	0	0	0	0.162	0.747	0.600	0.854	0.986
NONO	SFPQ	9606.ENSP00000276079	9606.ENSP00000349748	0	0	0	0.949	0.856	0.894	0.900	0.988	0.998
NUCB1	CTSD	9606.ENSP00000385923	9606.ENSP00000236671	0	0	0	0	0.693	0	0	0.107	0.714
NUFIP2	RPL30	9606.ENSP00000225388	9606.ENSP00000428085	0	0	0	0	0.046	0	0.720	0	0.721
NUFIP2	RPS26	9606.ENSP00000225388	9606.ENSP00000348849	0	0	0	0	0.053	0	0.720	0	0.723
NUFIP2	RPL8	9606.ENSP00000225388	9606.ENSP00000262584	0	0	0	0	0.077	0	0.720	0	0.730
NUFIP2	RPL11	9606.ENSP00000225388	9606.ENSP00000363676	0	0	0	0	0.081	0	0.720	0	0.731
NUFIP2	RPL10A	9606.ENSP00000225388	9606.ENSP00000363018	0	0	0	0	0.083	0	0.720	0	0.732
OGDH	MDH2	9606.ENSP00000222673	9606.ENSP00000327070	0.070	0	0	0	0.208	0.160	0	0.835	0.884
OGDH	DLST	9606.ENSP00000222673	9606.ENSP00000335304	0.081	0	0.413	0	0.668	0.971	0.900	0.991	0.999
PHPT1	NEDD8	9606.ENSP00000247665	9606.ENSP00000250495	0	0	0	0	0.783	0.788	0	0	0.952
PRDX3	GPX1	9606.ENSP00000298510	9606.ENSP00000407375	0	0	0	0	0.062	0.185	0	0.706	0.756
PRDX3	SOD2	9606.ENSP00000298510	9606.ENSP00000446252	0.154	0	0	0	0.112	0	0	0.741	0.789
PSMD8	NEDD8	9606.ENSP00000215071	9606.ENSP00000250495	0	0	0	0	0.293	0.253	0.600	0.334	0.840
RAB1B	TRAPPC3	9606.ENSP00000310226	9606.ENSP00000480332	0	0	0	0	0.071	0.383	0.600	0.367	0.835
RBM25	SF3A1	9606.ENSP00000261973	9606.ENSP00000215793	0	0	0	0	0.569	0.941	0	0.682	0.991
RPL10A	NUFIP2	9606.ENSP00000363018	9606.ENSP00000225388	0	0	0	0	0.083	0	0.720	0	0.732
RPL10A	RPS16	9606.ENSP00000363018	9606.ENSP00000251453	0.135	0	0	0	0.995	0.997	0	0.265	0.999
RPL10A	RPL8	9606.ENSP00000363018	9606.ENSP00000262584	0.167	0	0	0	0.999	0.996	0.900	0.714	0.999
RPL10A	RPS26	9606.ENSP00000363018	9606.ENSP00000348849	0	0	0	0	0.991	0.997	0.900	0.734	0.999
RPL10A	RPL30	9606.ENSP00000363018	9606.ENSP00000428085	0	0	0	0	0.982	0.996	0.900	0.740	0.999
RPL10A	RPL11	9606.ENSP00000363018	9606.ENSP00000363676	0.219	0	0	0	0.997	0.996	0.900	0.720	0.999
RPL11	NUFIP2	9606.ENSP00000363676	9606.ENSP00000225388	0	0	0	0	0.081	0	0.720	0	0.731
RPL11	NEDD8	9606.ENSP00000363676	9606.ENSP00000250495	0	0	0	0	0.232	0.711	0	0.414	0.858
RPL11	RPS16	9606.ENSP00000363676	9606.ENSP00000251453	0.185	0	0	0	0.997	0.996	0	0.556	0.999
RPL11	RPL8	9606.ENSP00000363676	9606.ENSP00000262584	0.219	0	0	0	0.995	0.996	0.900	0.766	0.999
RPL11	RPS26	9606.ENSP00000363676	9606.ENSP00000348849	0	0	0	0	0.991	0.997	0.900	0.882	0.999
RPL11	RPL10A	9606.ENSP00000363676	9606.ENSP00000363018	0.219	0	0	0	0.997	0.996	0.900	0.720	0.999
RPL11	SOD2	9606.ENSP00000363676	9606.ENSP00000446252	0	0	0	0	0.273	0.611	0	0.107	0.725
RPL11	RPL30	9606.ENSP00000363676	9606.ENSP00000428085	0	0	0	0	0.995	0.996	0.900	0.671	0.999
RPL30	NUFIP2	9606.ENSP00000428085	9606.ENSP00000225388	0	0	0	0	0.046	0	0.720	0	0.721
RPL30	RPS16	9606.ENSP00000428085	9606.ENSP00000251453	0.183	0	0	0	0.995	0.997	0	0.784	0.999
RPL30	RPL8	9606.ENSP00000428085	9606.ENSP00000262584	0	0	0	0	0.993	0.996	0.900	0.759	0.999
RPL30	RPS26	9606.ENSP00000428085	9606.ENSP00000348849	0	0	0	0	0.990	0.997	0.900	0.789	0.999
RPL30	RPL10A	9606.ENSP00000428085	9606.ENSP00000363018	0	0	0	0	0.982	0.996	0.900	0.740	0.999
RPL30	RPL11	9606.ENSP00000428085	9606.ENSP00000363676	0	0	0	0	0.995	0.996	0.900	0.671	0.999
RPL8	NUFIP2	9606.ENSP00000262584	9606.ENSP00000225388	0	0	0	0	0.077	0	0.720	0	0.730
RPL8	RPS16	9606.ENSP00000262584	9606.ENSP00000251453	0.135	0	0	0	0.995	0.996	0	0.762	0.999
RPL8	RPL11	9606.ENSP00000262584	9606.ENSP00000363676	0.219	0	0	0	0.995	0.996	0.900	0.766	0.999
RPL8	RPL30	9606.ENSP00000262584	9606.ENSP00000428085	0	0	0	0	0.993	0.996	0.900	0.759	0.999
RPL8	RPL10A	9606.ENSP00000262584	9606.ENSP00000363018	0.167	0	0	0	0.999	0.996	0.900	0.714	0.999
RPL8	RPS26	9606.ENSP00000262584	9606.ENSP00000348849	0	0	0	0	0.992	0.996	0.900	0.634	0.999
RPS16	RPL10A	9606.ENSP00000251453	9606.ENSP00000363018	0.135	0	0	0	0.995	0.997	0	0.265	0.999
RPS16	RPS26	9606.ENSP00000251453	9606.ENSP00000348849	0	0	0	0	0.992	0.996	0.900	0.614	0.999
RPS16	RPL8	9606.ENSP00000251453	9606.ENSP00000262584	0.135	0	0	0	0.995	0.996	0	0.762	0.999
RPS16	RPL11	9606.ENSP00000251453	9606.ENSP00000363676	0.185	0	0	0	0.997	0.996	0	0.556	0.999
RPS16	RPL30	9606.ENSP00000251453	9606.ENSP00000428085	0.183	0	0	0	0.995	0.997	0	0.784	0.999
RPS26	NUFIP2	9606.ENSP00000348849	9606.ENSP00000225388	0	0	0	0	0.053	0	0.720	0	0.723
RPS26	RPS16	9606.ENSP00000348849	9606.ENSP00000251453	0	0	0	0	0.992	0.996	0.900	0.614	0.999
RPS26	RPL8	9606.ENSP00000348849	9606.ENSP00000262584	0	0	0	0	0.992	0.996	0.900	0.634	0.999
RPS26	RPL10A	9606.ENSP00000348849	9606.ENSP00000363018	0	0	0	0	0.991	0.997	0.900	0.734	0.999
RPS26	RPL11	9606.ENSP00000348849	9606.ENSP00000363676	0	0	0	0	0.991	0.997	0.900	0.882	0.999
RPS26	RPL30	9606.ENSP00000348849	9606.ENSP00000428085	0	0	0	0	0.990	0.997	0.900	0.789	0.999
SERPINE1	LRP1	9606.ENSP00000223095	9606.ENSP00000243077	0	0	0	0	0.070	0.283	0.900	0.988	0.999
SF3A1	RBM25	9606.ENSP00000215793	9606.ENSP00000261973	0	0	0	0	0.569	0.941	0	0.682	0.991
SFPQ	NONO	9606.ENSP00000349748	9606.ENSP00000276079	0	0	0	0.949	0.856	0.894	0.900	0.988	0.998
SFPQ	SRSF7	9606.ENSP00000349748	9606.ENSP00000325905	0	0	0	0	0.440	0.186	0	0.460	0.732
SNX27	SNX6	9606.ENSP00000357836	9606.ENSP00000355217	0	0	0	0	0.051	0.386	0	0.852	0.907
SNX6	SNX27	9606.ENSP00000355217	9606.ENSP00000357836	0	0	0	0	0.051	0.386	0	0.852	0.907
SOD2	PRDX3	9606.ENSP00000446252	9606.ENSP00000298510	0.154	0	0	0	0.112	0	0	0.741	0.789
SOD2	RPL11	9606.ENSP00000446252	9606.ENSP00000363676	0	0	0	0	0.273	0.611	0	0.107	0.725
SOD2	GPX1	9606.ENSP00000446252	9606.ENSP00000407375	0	0	0	0	0.062	0.254	0.900	0.856	0.988
SRSF7	SFPQ	9606.ENSP00000325905	9606.ENSP00000349748	0	0	0	0	0.440	0.186	0	0.460	0.732
TAGLN	CALD1	9606.ENSP00000432282	9606.ENSP00000354826	0	0	0	0	0.203	0	0	0.712	0.761
TPM3	MYL1	9606.ENSP00000357516	9606.ENSP00000307280	0	0	0	0	0.400	0.111	0.600	0.453	0.867
TPM3	CALD1	9606.ENSP00000357516	9606.ENSP00000354826	0	0	0	0	0.065	0	0.600	0.413	0.761
TRAPPC3	RAB1B	9606.ENSP00000480332	9606.ENSP00000310226	0	0	0	0	0.071	0.383	0.600	0.367	0.835
UCHL3	NEDD8	9606.ENSP00000366819	9606.ENSP00000250495	0	0	0	0	0.162	0.747	0.600	0.854	0.986
UCHL3	ACAA2	9606.ENSP00000366819	9606.ENSP00000285093	0	0	0	0	0.057	0.741	0	0	0.745
XRCC5	XRCC6	9606.ENSP00000375978	9606.ENSP00000352257	0	0	0	0	0.601	0.998	0.900	0.995	0.999
XRCC6	XRCC5	9606.ENSP00000352257	9606.ENSP00000375978	0	0	0	0	0.601	0.998	0.900	0.995	0.999
YWHAG	CTNNB1	9606.ENSP00000306330	9606.ENSP00000344456	0	0	0	0	0.085	0.058	0.900	0.230	0.924
