#queryIndex	queryItem	stringId	preferredName	annotation
11	P56192	9606.ENSP00000262027	MARS	Methionine--tRNA ligase, cytoplasmic; Catalyzes the specific attachment of an amino acid to its cognate tRNA in a 2 step reaction: the amino acid (AA) is first activated by ATP to form AA-AMP and then transferred to the acceptor end of the tRNA; Belongs to the class-I aminoacyl-tRNA synthetase family
12	P61981	9606.ENSP00000306330	YWHAG	14-3-3 protein gamma; Adapter protein implicated in the regulation of a large spectrum of both general and specialized signaling pathways. Binds to a large number of partners, usually by recognition of a phosphoserine or phosphothreonine motif. Binding generally results in the modulation of the activity of the binding partner; Belongs to the 14-3-3 family
13	P62854	9606.ENSP00000348849	RPS26	Small subunit ribosomal protein s26e; Ribosomal protein S26; Belongs to the eukaryotic ribosomal protein eS26 family
14	P62917	9606.ENSP00000262584	RPL8	60S ribosomal protein L8; Component of the large ribosomal subunit
15	Q02818	9606.ENSP00000385923	NUCB1	Nucleobindin-1; Major calcium-binding protein of the Golgi. May have a role in calcium homeostasis (By similarity); Belongs to the nucleobindin family
16	Q07065	9606.ENSP00000367265	CKAP4	Cytoskeleton-associated protein 4; High-affinity epithelial cell surface receptor for APF
17	Q07866	9606.ENSP00000414982	KLC1	Kinesin light chain 1; Kinesin is a microtubule-associated force-producing protein that may play a role in organelle transport. The light chain may function in coupling of cargo to the heavy chain or in the modulation of its ATPase activity; Tetratricopeptide repeat domain containing
18	Q07954	9606.ENSP00000243077	LRP1	Prolow-density lipoprotein receptor-related protein 1; Endocytic receptor involved in endocytosis and in phagocytosis of apoptotic cells. Required for early embryonic development. Involved in cellular lipid homeostasis. Involved in the plasma clearance of chylomicron remnants and activated LRPAP1 (decay_coeff 2-macroglobulin), as well as the local metabolism of complexes between plasminogen activators and their endogenous inhibitors. May modulate cellular events, such as APP metabolism, kinase-dependent intracellular signaling, neuronal calcium signaling as well as neurotransmission. Acts as [...]
19	Q13162	9606.ENSP00000368646	PRDX4	Peroxiredoxin-4; Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides and as sensor of hydrogen peroxide-mediated signaling events. Regulates the activation of NF-kappa-B in the cytosol by a modulation of I- kappa-B-decay_coeff phosphorylation; Peroxiredoxins
20	Q14011	9606.ENSP00000466897	CIRBP	Cold-inducible RNA-binding protein; Cold-inducible mRNA binding protein that plays a protective role in the genotoxic stress response by stabilizing transcripts of genes involved in cell survival. Acts as a translational activator. Seems to play an essential role in cold- induced suppression of cell proliferation. Binds specifically to the 3'-untranslated regions (3'-UTRs) of stress-responsive transcripts RPA2 and TXN. Acts as a translational repressor (By similarity). Promotes assembly of stress granules (SGs), when overexpressed
21	Q15459	9606.ENSP00000215793	SF3A1	Splicing factor 3A subunit 1; Subunit of the splicing factor SF3A required for 'A' complex assembly formed by the stable binding of U2 snRNP to the branchpoint sequence (BPS) in pre-mRNA. Sequence independent binding of SF3A/SF3B complex upstream of the branch site is essential, it may anchor U2 snRNP to the pre-mRNA. May also be involved in the assembly of the 'E' complex; U2 small nucleolar ribonucleoprotein
22	Q15843	9606.ENSP00000250495	NEDD8	Neural precursor cell expressed, developmentally down-regulated 8; NEDD8; Ubiquitin-like protein which plays an important role in cell cycle control and embryogenesis. Covalent attachment to its substrates requires prior activation by the E1 complex UBE1C- APPBP1 and linkage to the E2 enzyme UBE2M. Attachment of NEDD8 to cullins activates their associated E3 ubiquitin ligase activity, and thus promotes polyubiquitination and proteasomal degradation of cyclins and other regulatory proteins
23	Q9H0U4	9606.ENSP00000310226	RAB1B	Ras-related protein Rab-1B; The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes. Rabs cycle between an inactive GDP-bound form and an active GTP-bound form that is able to recruit to membranes different set of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion. RAB1B regulates vesicular transport between the endoplasmic reticulum and successive Golgi compartments. Plays a role in the initial events of the autophagic vacuole development which t [...] 
24	Q9UHD8	9606.ENSP00000391249	SEPT9	Septin-9; Filament-forming cytoskeletal GTPase (By similarity). May play a role in cytokinesis (Potential). May play a role in the internalization of 2 intracellular microbial pathogens, Listeria monocytogenes and Shigella flexneri; Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family
25	Q9UJZ1	9606.ENSP00000348886	STOML2	Stomatin-like protein 2, mitochondrial; Mitochondrial protein that probably regulates the biogenesis and the activity of mitochondria. Stimulates cardiolipin biosynthesis, binds cardiolipin-enriched membranes where it recruits and stabilizes some proteins including prohibitin and may therefore act in the organization of functional microdomains in mitochondrial membranes. Through regulation of the mitochondrial function may play a role into several biological processes including cell migration, cell proliferation, T-cell activation, calcium homeostasis and cellular response to stress. M [...] 
26	Q9UNH7	9606.ENSP00000355217	SNX6	Sorting nexin-6; Involved in several stages of intracellular trafficking. Interacts with membranes phosphatidylinositol 3,4-bisphosphate and/or phosphatidylinositol 4,5-bisphosphate (Probable). Acts in part as component of the retromer membrane-deforming SNX-BAR subcomplex. The SNX-BAR retromer mediates retrograde transport of cargo proteins from endosomes to the trans-Golgi network (TGN) and is involved in endosome-to-plasma membrane transport for cargo protein recycling. The SNX-BAR subcomplex functions to deform the donor membrane into a tubular profile called endosome-to-TGN transp [...] 
