#queryIndex	queryItem	stringId	preferredName	annotation
11	P23246	9606.ENSP00000349748	SFPQ	Splicing factor, proline- and glutamine-rich; DNA- and RNA binding protein, involved in several nuclear processes. Essential pre-mRNA splicing factor required early in spliceosome formation and for splicing catalytic step II, probably as a heteromer with NONO. Binds to pre-mRNA in spliceosome C complex, and specifically binds to intronic polypyrimidine tracts. Involved in regulation of signal-induced alternative splicing. During splicing of PTPRC/CD45, a phosphorylated form is sequestered by THRAP3 from the pre-mRNA in resting T-cells; T-cell activation and subsequent reduced phosphory [...] 
12	P26022	9606.ENSP00000295927	PTX3	Pentraxin-related protein PTX3; Plays a role in the regulation of innate resistance to pathogens, inflammatory reactions, possibly clearance of self- components and female fertility; Long pentraxins
13	P27816	9606.ENSP00000353375	MAP4	Microtubule-associated protein 4; Non-neuronal microtubule-associated protein. Promotes microtubule assembly
14	P30048	9606.ENSP00000298510	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial; Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides. Acts synergistically with MAP3K13 to regulate the activation of NF-kappa-B in the cytosol; Peroxiredoxins
15	P30085	9606.ENSP00000360939	CMPK1	UMP-CMP kinase; Catalyzes the phosphorylation of pyrimidine nucleoside monophosphates at the expense of ATP. Plays an important role in de novo pyrimidine nucleotide biosynthesis. Has preference for UMP and CMP as phosphate acceptors. Also displays broad nucleoside diphosphate kinase activity; Belongs to the adenylate kinase family. UMP-CMP kinase subfamily
16	P35222	9606.ENSP00000344456	CTNNB1	Catenin beta-1; Key downstream component of the canonical Wnt signaling pathway. In the absence of Wnt, forms a complex with AXIN1, AXIN2, APC, CSNK1A1 and GSK3B that promotes phosphorylation on N-terminal Ser and Thr residues and ubiquitination of CTNNB1 via BTRC and its subsequent degradation by the proteasome. In the presence of Wnt ligand, CTNNB1 is not ubiquitinated and accumulates in the nucleus, where it acts as a coactivator for transcription factors of the TCF/LEF family, leading to activate Wnt responsive genes. Involved in the regulation of cell adhesion, as component of an  [...] 
17	P38606	9606.ENSP00000273398	ATP6V1A	V-type proton ATPase catalytic subunit A; Catalytic subunit of the peripheral V1 complex of vacuolar ATPase. V-ATPase vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells. In aerobic conditions, involved in intracellular iron homeostasis, thus triggering the activity of Fe(2+) prolyl hydroxylase (PHD) enzymes, and leading to HIF1A hydroxylation and subsequent proteasomal degradation; Belongs to the ATPase alpha/beta chains family
18	P42765	9606.ENSP00000285093	ACAA2	3-ketoacyl-CoA thiolase, mitochondrial; Abolishes BNIP3-mediated apoptosis and mitochondrial damage
19	P46379	9606.ENSP00000365131	BAG6	Large proline-rich protein BAG6; ATP-independent molecular chaperone preventing the aggregation of misfolded and hydrophobic patches-containing proteins. Functions as part of a cytosolic protein quality control complex, the BAG6/BAT3 complex, which maintains these client proteins in a soluble state and participates to their proper delivery to the endoplasmic reticulum or alternatively can promote their sorting to the proteasome where they undergo degradation. The BAG6/BAT3 complex is involved in the post-translational delivery of tail-anchored/type II transmembrane proteins to the endo [...] 
20	P49756	9606.ENSP00000261973	RBM25	RNA-binding protein 25; RNA-binding protein that acts as a regulator of alternative pre-mRNA splicing. Involved in apoptotic cell death through the regulation of the apoptotic factor BCL2L1 isoform expression. Modulates the ratio of proapoptotic BCL2L1 isoform S to antiapoptotic BCL2L1 isoform L mRNA expression. When overexpressed, stimulates proapoptotic BCL2L1 isoform S 5'-splice site (5'-ss) selection, whereas its depletion caused the accumulation of antiapoptotic BCL2L1 isoform L. Promotes BCL2L1 isoform S 5'-ss usage through the 5'-CGGGCA-3' RNA sequence. Its association with LUC7 [...] 
21	P53621	9606.ENSP00000357048	COPA	Coatomer subunit alpha; The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins. In mammals, the coatomer can only be recruited by membranes associated to ADP-ribosylation factors (ARFs), which are small GTP-binding proteins; the complex also inf [...] 
22	P61981	9606.ENSP00000306330	YWHAG	14-3-3 protein gamma; Adapter protein implicated in the regulation of a large spectrum of both general and specialized signaling pathways. Binds to a large number of partners, usually by recognition of a phosphoserine or phosphothreonine motif. Binding generally results in the modulation of the activity of the binding partner; Belongs to the 14-3-3 family
23	P62328	9606.ENSP00000370010	TMSB4X	Thymosin beta 4, x-linked; Thymosin beta-4; Plays an important role in the organization of the cytoskeleton (By similarity). Binds to and sequesters actin monomers (G actin) and therefore inhibits actin polymerization
24	P62854	9606.ENSP00000348849	RPS26	Small subunit ribosomal protein s26e; Ribosomal protein S26; Belongs to the eukaryotic ribosomal protein eS26 family
25	P62906	9606.ENSP00000363018	RPL10A	60S ribosomal protein L10a; Component of the large ribosomal subunit
26	P62913	9606.ENSP00000363676	RPL11	60S ribosomal protein L11; Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl- transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome throug [...] 
28	Q01995	9606.ENSP00000432282	TAGLN	Transgelin; Actin cross-linking/gelling protein (By similarity). Involved in calcium interactions and contractile properties of the cell that may contribute to replicative senescence; Belongs to the calponin family
29	Q02218	9606.ENSP00000222673	OGDH	2-oxoglutarate dehydrogenase, mitochondrial; The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2). It contains multiple copies of three enzymatic components: 2- oxoglutarate dehydrogenase (E1), dihydrolipoamide succinyltransferase (E2) and lipoamide dehydrogenase (E3)
30	Q02818	9606.ENSP00000385923	NUCB1	Nucleobindin-1; Major calcium-binding protein of the Golgi. May have a role in calcium homeostasis (By similarity); Belongs to the nucleobindin family
31	Q07065	9606.ENSP00000367265	CKAP4	Cytoskeleton-associated protein 4; High-affinity epithelial cell surface receptor for APF
32	Q07866	9606.ENSP00000414982	KLC1	Kinesin light chain 1; Kinesin is a microtubule-associated force-producing protein that may play a role in organelle transport. The light chain may function in coupling of cargo to the heavy chain or in the modulation of its ATPase activity; Tetratricopeptide repeat domain containing
33	Q07954	9606.ENSP00000243077	LRP1	Prolow-density lipoprotein receptor-related protein 1; Endocytic receptor involved in endocytosis and in phagocytosis of apoptotic cells. Required for early embryonic development. Involved in cellular lipid homeostasis. Involved in the plasma clearance of chylomicron remnants and activated LRPAP1 (alpha 2-macroglobulin), as well as the local metabolism of complexes between plasminogen activators and their endogenous inhibitors. May modulate cellular events, such as APP metabolism, kinase-dependent intracellular signaling, neuronal calcium signaling as well as neurotransmission. Acts as [...] 
34	Q13162	9606.ENSP00000368646	PRDX4	Peroxiredoxin-4; Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides and as sensor of hydrogen peroxide-mediated signaling events. Regulates the activation of NF-kappa-B in the cytosol by a modulation of I- kappa-B-alpha phosphorylation; Peroxiredoxins
35	Q13263	9606.ENSP00000253024	TRIM28	Transcription intermediary factor 1-beta; Nuclear corepressor for KRAB domain-containing zinc finger proteins (KRAB-ZFPs). Mediates gene silencing by recruiting CHD3, a subunit of the nucleosome remodeling and deacetylation (NuRD) complex, and SETDB1 (which specifically methylates histone H3 at 'Lys-9' (H3K9me)) to the promoter regions of KRAB target genes. Enhances transcriptional repression by coordinating the increase in H3K9me, the decrease in histone H3 'Lys-9 and 'Lys-14' acetylation (H3K9ac and H3K14ac, respectively) and the disposition of HP1 proteins to silence gene expression [...] 
36	Q14011	9606.ENSP00000466897	CIRBP	Cold-inducible RNA-binding protein; Cold-inducible mRNA binding protein that plays a protective role in the genotoxic stress response by stabilizing transcripts of genes involved in cell survival. Acts as a translational activator. Seems to play an essential role in cold- induced suppression of cell proliferation. Binds specifically to the 3'-untranslated regions (3'-UTRs) of stress-responsive transcripts RPA2 and TXN. Acts as a translational repressor (By similarity). Promotes assembly of stress granules (SGs), when overexpressed
37	Q14444	9606.ENSP00000340329	CAPRIN1	Caprin-1; May regulate the transport and translation of mRNAs of proteins involved in synaptic plasticity in neurons and cell proliferation and migration in multiple cell types. Binds directly and selectively to MYC and CCND2 RNAs. In neuronal cells, directly binds to several mRNAs associated with RNA granules, including BDNF, CAMK2A, CREB1, MAP2, NTRK2 mRNAs, as well as to GRIN1 and KPNB1 mRNAs, but not to rRNAs
38	Q15233	9606.ENSP00000276079	NONO	Non-POU domain-containing octamer-binding protein; DNA- and RNA binding protein, involved in several nuclear processes. Binds the conventional octamer sequence in double-stranded DNA. Also binds single-stranded DNA and RNA at a site independent of the duplex site. Involved in pre-mRNA splicing, probably as a heterodimer with SFPQ. Interacts with U5 snRNA, probably by binding to a purine-rich sequence located on the 3' side of U5 snRNA stem 1b. Together with PSPC1, required for the formation of nuclear paraspeckles. The SFPQ-NONO heteromer associated with MATR3 may play a role in nuclea [...] 
39	Q15459	9606.ENSP00000215793	SF3A1	Splicing factor 3A subunit 1; Subunit of the splicing factor SF3A required for 'A' complex assembly formed by the stable binding of U2 snRNP to the branchpoint sequence (BPS) in pre-mRNA. Sequence independent binding of SF3A/SF3B complex upstream of the branch site is essential, it may anchor U2 snRNP to the pre-mRNA. May also be involved in the assembly of the 'E' complex; U2 small nucleolar ribonucleoprotein
40	Q15843	9606.ENSP00000250495	NEDD8	Neural precursor cell expressed, developmentally down-regulated 8; NEDD8; Ubiquitin-like protein which plays an important role in cell cycle control and embryogenesis. Covalent attachment to its substrates requires prior activation by the E1 complex UBE1C- APPBP1 and linkage to the E2 enzyme UBE2M. Attachment of NEDD8 to cullins activates their associated E3 ubiquitin ligase activity, and thus promotes polyubiquitination and proteasomal degradation of cyclins and other regulatory proteins
41	Q16629	9606.ENSP00000325905	SRSF7	Serine/arginine-rich splicing factor 7; Required for pre-mRNA splicing. Can also modulate alternative splicing in vitro. Represses the splicing of MAPT/Tau exon 10. May function as export adapter involved in mRNA nuclear export such as of histone H2A. Binds mRNA which is thought to be transferred to the NXF1-NXT1 heterodimer for export (TAP/NXF1 pathway); enhances NXF1-NXT1 RNA-binding activity. RNA-binding is semi-sequence specific
42	Q7Z417	9606.ENSP00000225388	NUFIP2	Nuclear fragile X mental retardation-interacting protein 2; Binds RNA
43	Q96HC4	9606.ENSP00000480359	PDLIM5	PDZ and LIM domain protein 5; May play an important role in the heart development by scaffolding PKC to the Z-disk region. May play a role in the regulation of cardiomyocyte expansion. Overexpression promotes the development of heart hypertrophy. Contributes to the regulation of dendritic spine morphogenesis in neurons. May restrain postsynaptic growth of excitatory synapses (By similarity); LIM domain containing
44	Q96KR1	9606.ENSP00000265069	ZFR	Zinc finger RNA-binding protein; Involved in postimplantation and gastrulation stages of development. Involved in the nucleocytoplasmic shuttling of STAU2. Binds to DNA and RNA (By similarity)
45	Q9UHD8	9606.ENSP00000391249	SEPT9	Septin-9; Filament-forming cytoskeletal GTPase (By similarity). May play a role in cytokinesis (Potential). May play a role in the internalization of 2 intracellular microbial pathogens, Listeria monocytogenes and Shigella flexneri; Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family
46	Q9UJZ1	9606.ENSP00000348886	STOML2	Stomatin-like protein 2, mitochondrial; Mitochondrial protein that probably regulates the biogenesis and the activity of mitochondria. Stimulates cardiolipin biosynthesis, binds cardiolipin-enriched membranes where it recruits and stabilizes some proteins including prohibitin and may therefore act in the organization of functional microdomains in mitochondrial membranes. Through regulation of the mitochondrial function may play a role into several biological processes including cell migration, cell proliferation, T-cell activation, calcium homeostasis and cellular response to stress. M [...] 
47	Q9UMS6	9606.ENSP00000306015	SYNPO2	Synaptopodin-2; Isoform 4: Can induce long, well-organized actin bundles frequently orientated in parallel along the long axis of the cell showing characteristics of contractile ventral stress fibers; Belongs to the synaptopodin family
48	Q9UNH7	9606.ENSP00000355217	SNX6	Sorting nexin-6; Involved in several stages of intracellular trafficking. Interacts with membranes phosphatidylinositol 3,4-bisphosphate and/or phosphatidylinositol 4,5-bisphosphate (Probable). Acts in part as component of the retromer membrane-deforming SNX-BAR subcomplex. The SNX-BAR retromer mediates retrograde transport of cargo proteins from endosomes to the trans-Golgi network (TGN) and is involved in endosome-to-plasma membrane transport for cargo protein recycling. The SNX-BAR subcomplex functions to deform the donor membrane into a tubular profile called endosome-to-TGN transp [...] 
